,delta_sharpe,delta_sharpe_lo,delta_sharpe_hi,delta_sharpe_p,delta_max_drawdown,delta_max_drawdown_p,delta_volatility,delta_volatility_p,ledoit_wolf_delta_sharpe,ledoit_wolf_p,delta_turnover,delta_sharpe_p_holm
static_matched_moments_hmm,0.2912542834132273,0.20499453527768852,0.38354545474704504,0.0,0.05240176487190451,0.12666666666666668,-0.0009295056210784081,0.35933333333333334,0.29129586443755395,3.7936986885256374e-11,-0.22094353844358047,0.0
moments_hmm_policy,0.28636005987762386,0.07311109337607075,0.5054168637682179,0.012,0.06768573859267268,0.21333333333333335,0.0055247052628404625,0.156,0.28640094217633705,0.006904793460327241,-0.2569891385461144,0.14400000000000002
moments_shuffled,0.2783169084446108,0.08067617282660791,0.4931664232430405,0.008333333333333333,0.05187537324577296,0.29233333333333333,0.00303330029327592,0.42766666666666664,0.27835664245986713,0.004537966057723386,-0.21980020135016257,0.11666666666666667
moments_longwindow,0.27810354415222854,0.06963717560383637,0.5043179337495464,0.013666666666666667,0.04881917681983139,0.3416666666666667,0.00457603397511766,0.24566666666666667,0.27814324770645354,0.006778760388704175,-0.24209720798634038,0.15033333333333335
moments_oracle,0.26053509749871345,0.07334287970742914,0.4684889300604464,0.010666666666666666,0.049731820314451336,0.29233333333333333,0.0022910598782034386,0.48833333333333334,0.26057229288722455,0.00665280547278102,-0.20486565053381225,0.13866666666666666
moments_hmm,0.2526354428207171,0.06680045350497116,0.4653741360371193,0.019,0.04502858949660393,0.352,0.00263267659770941,0.43366666666666664,0.25267151041213803,0.008786136162536096,-0.21104441304801788,0.19
ablation_annual,0.23080314581923222,0.01079112934519135,0.45787674840304005,0.043666666666666666,0.07415865908356212,0.13,-0.005330955569922385,0.205,0.2308384341224455,0.04918026893627814,0.32155560728523797,0.34933333333333333
pinned_calm,0.12838386160794585,0.06591380521876267,0.19316429841408292,0.0,0.011610517130774656,0.5986666666666667,0.011592250551242522,0.0,0.1284021903769174,6.605989798691425e-05,-0.09221698145987434,0.0
equal_weight,0.12813614712459526,0.020467743489275384,0.24201282258128803,0.02266666666666667,0.06212489670577803,0.068,-0.0018598056320098533,0.127,0.12815444052851813,0.02283861868042547,-0.1601462555744263,0.20400000000000001
static_matched_regime_hmm,0.12238740052194758,0.08488335548843505,0.16700803395653285,0.0,0.015998475654331767,0.43433333333333335,0.0005699543404172058,0.3526666666666667,0.12240487320395849,8.535749884686084e-11,-0.08516866097135745,0.0
min_variance,0.09576538946389451,-0.302874049692309,0.5231334636184102,0.6296666666666667,0.08353241134828449,0.26566666666666666,-0.04494649484609203,0.0,0.09577906144475694,0.6262338957642346,-0.22313478437015927,1.0
regime_shuffled,0.07992074152372136,0.038130571951031964,0.12607911178741205,0.0013333333333333333,0.01149899706104296,0.438,0.0028397384116702895,0.0,0.07993215143762392,0.00019090617783046326,-0.06047153772855507,0.021333333333333333
regime_hmm_calibrated,0.0755294508617173,-0.04952726521210876,0.20208571886404866,0.25133333333333335,0.009610319014012658,0.756,0.01909232587898474,0.0,0.07554023385140195,0.21964649074880715,-0.10680985086452566,1.0
regime_volq,0.061675221597711605,-0.015802439506336485,0.14565094567480855,0.12866666666666668,0.018424307884252755,0.3006666666666667,0.006975929848099749,0.0,0.0616840266832868,0.08538818022894357,-0.0762605552749282,0.9006666666666667
regime_hmm,0.056650639811129444,-0.027954046546455738,0.13830361869543095,0.174,0.012078530075155802,0.4693333333333333,0.008203661716996602,0.0,0.05665872756044766,0.14135626028305937,-0.0759363866722666,1.0
regime_oracle,0.05489778166564724,-0.031235165808561158,0.14437022817489492,0.217,0.019362401590691913,0.321,0.004582396123338189,0.008,0.054905619167531027,0.1617250711578615,-0.0670578980217757,1.0
regime_gmm,0.04269296015260887,-0.040705356072945516,0.1251834393140021,0.30433333333333334,0.010533773751488229,0.591,0.005902880943246452,0.0003333333333333333,0.04269905522868429,0.26903546377786247,-0.06941516475868081,1.0
ablation_no_pso,-0.030619564729094495,-0.0843217581281399,0.029797413506077463,0.28933333333333333,0.023836525171378242,0.13733333333333334,-0.009630435783581387,0.0,-0.03062393614245523,0.2868463157602088,-0.01767568303204642,1.0
pinned_crisis,-0.13095103384222784,-0.227875644293014,-0.03749073265525014,0.006333333333333333,0.007283336620472647,0.7823333333333333,-0.015154916518729272,0.0,-0.13096972911448276,0.006936057743395008,0.040678522701323105,0.095
