,n_days,total_return,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,mean_turnover
static_matched_moments_hmm,3503.0,4.495763366859576,0.13041103027929912,0.18486365364927157,0.7560666930164553,0.9543889460130234,-0.3177585468694505,0.4104091976883248,0.1695276141320858
moments_hmm_policy,3503.0,4.707515196287964,0.13348961606619802,0.19131786453319044,0.7511724694808519,0.9465069123271834,-0.3024745731486823,0.44132508288748223,0.13348201402955193
moments_shuffled,3503.0,4.481843314007061,0.130204815104634,0.1888264595636259,0.7431293180478389,0.9373645178699623,-0.31828493849558204,0.4090825526337034,0.17067095122550371
moments_longwindow,3503.0,4.543855460570912,0.13111976751305088,0.19036919324546764,0.7429159537554566,0.9345792509906575,-0.3213411349215236,0.4080391623222228,0.1483739445893259
ablation_annual,3271.0,3.5199434827045595,0.12323823724405214,0.17842055686216146,0.7409085670868912,0.9506264451144021,-0.2960016526577909,0.41634307152510575,0.7120267598609042
moments_oracle,3503.0,4.2029500917207585,0.12596738423894238,0.18808421914855342,0.7253475071019415,0.9169260437158954,-0.32042849142690366,0.39312167179015706,0.18560550204185403
moments_hmm,3503.0,4.10976173566339,0.12450441731584783,0.1884258358680594,0.7174478524239452,0.9107423901858624,-0.32513172224475106,0.38293531143701814,0.1794267395276484
pinned_calm,3503.0,2.8780457069831065,0.10241175577427208,0.1973854098215925,0.5931962712111739,0.7551728092703267,-0.35854979461058034,0.28562770726309056,0.29825417111579194
equal_weight,3503.0,2.5961340579525314,0.09644262126929526,0.18393335363834012,0.5929485567278233,0.7546881498354953,-0.30803541503557696,0.31308939349768106,0.23032489700123998
static_matched_regime_hmm,3503.0,2.5910540519104868,0.09633112521068443,0.18636311361076718,0.5871998101251756,0.7404849504056605,-0.35416183608702323,0.2719974751514851,0.30530249160430883
min_variance,3503.0,1.6101710129959868,0.07145632494334264,0.14084666442425794,0.5605777990671226,0.7251783052305464,-0.2866279003930705,0.2492999629322553,0.167336368205507
regime_shuffled,3503.0,2.2535492895107376,0.08857445670210407,0.18863289768202027,0.5447331511269494,0.6903631832940617,-0.35866131468031204,0.2469584900201844,0.3299996148471112
regime_hmm_calibrated,3503.0,2.475267591620483,0.09374931973342981,0.20488548514933472,0.5403418604649454,0.6889223877869596,-0.36054999272734234,0.260017533280955,0.2836613017111406
regime_volq,3503.0,2.1617068815643634,0.08633439365468454,0.19276908911844973,0.5264876312009397,0.6668900714147803,-0.35173600385710224,0.24545225028984838,0.3142105973007381
regime_hmm,3503.0,2.1369221547653963,0.08571954058795361,0.19399682098734658,0.5214630494143575,0.659802420261428,-0.3580817816661992,0.23938537221606165,0.3145347659033997
regime_oracle,3503.0,2.0710438704318705,0.0840630621247036,0.19037555539368817,0.5197101912688753,0.6540780475390178,-0.3507979101506631,0.23963387378391057,0.3234132545538906
regime_gmm,3503.0,1.9908439264331093,0.08200137311025757,0.19169604021359643,0.5075053697558369,0.6402192599200979,-0.35962653798986677,0.22801813672762974,0.32105598781698547
static,3503.0,1.6098713654601093,0.07144747582993483,0.18579315927034998,0.46481240960322806,0.5883159425037078,-0.370160311741355,0.1930176563063246,0.3904711525756663
ablation_no_pso,3503.0,1.3314030427506358,0.06278589522037725,0.1761627234867686,0.43419284487413357,0.5422045544836329,-0.34632378656997675,0.18129247154004247,0.37279546954361986
pinned_crisis,3503.0,0.8014956707410636,0.04325344939487197,0.1706382427516207,0.3338613757610002,0.4202691611731055,-0.36287697512088235,0.11919590483927311,0.4311496752769894
