mechanism,transaction_cost,treatment,matched_control,turnover_treatment,turnover_control,regime_effect,ci_lo,ci_hi,p_bootstrap,p_ledoit_wolf
Preferences,0.0,regime_hmm,static_matched_regime_hmm,0.3145347659033997,0.30530249160430883,-0.07199899567476398,-0.14351064963619084,-0.00894035255743749,0.0385,0.029327780852937746
Preferences,0.005,regime_hmm,static_matched_regime_hmm,0.3145347659033997,0.30530249160430883,-0.06903312031441067,-0.14231342935051441,-0.0004561409397001329,0.058,0.03875588757718895
Preferences,0.01,regime_hmm,static_matched_regime_hmm,0.3145347659033997,0.30530249160430883,-0.06573676071081813,-0.14363775497689027,0.0054467932493129124,0.083,0.05672672413795654
Preferences,0.015,regime_hmm,static_matched_regime_hmm,0.3145347659033997,0.30530249160430883,-0.06243689825058518,-0.14175534663549186,0.016709798520704394,0.116,0.08437521876534726
Beliefs,0.0,moments_hmm,static_matched_moments_hmm,0.1794267395276484,0.1695276141320858,-0.029367818769976628,-0.21996450271422827,0.15261341113921184,0.7435,0.7350231154111775
Beliefs,0.005,moments_hmm,static_matched_moments_hmm,0.1794267395276484,0.1695276141320858,-0.03411931775962518,-0.21491448932217988,0.15536737924844665,0.721,0.6955629377123436
Beliefs,0.01,moments_hmm,static_matched_moments_hmm,0.1794267395276484,0.1695276141320858,-0.03861884059251397,-0.21697936765121634,0.13975875240115165,0.6865,0.6617453639136204
Beliefs,0.015,moments_hmm,static_matched_moments_hmm,0.1794267395276484,0.1695276141320858,-0.042777698183845136,-0.22547035050518832,0.14445295397461558,0.652,0.6343547302814985
Expected returns,0.0,tilt_hmm,static_matched_tilt_hmm,0.20216766379932383,0.20026885216427848,-0.03678751205629882,-0.2120976372281939,0.15218927624916592,0.701,0.6833247908566196
Expected returns,0.005,tilt_hmm,static_matched_tilt_hmm,0.20216766379932383,0.20026885216427848,-0.04705324532022814,-0.23060692545342024,0.15217505723481356,0.6065,0.6045635499777338
Expected returns,0.01,tilt_hmm,static_matched_tilt_hmm,0.20216766379932383,0.20026885216427848,-0.05742043154402876,-0.24348316769973236,0.1308696637802935,0.553,0.5340168833595884
Expected returns,0.015,tilt_hmm,static_matched_tilt_hmm,0.20216766379932383,0.20026885216427848,-0.06746799643855783,-0.26722950677085056,0.12609910153449605,0.4935,0.47526454969748766
